13.03;
13.51;
13.55;
13.59;
13.63;
14.19;
14.45;
14.69;
14.92;
15.15;
15.55;
15.20;
15.20;
15.22;
15.28;
15.28;
15.28;
15.28;
15.29;
15.29;
