12.99;
13.47;
13.52;
13.56;
13.59;
14.17;
14.43;
14.67;
14.89;
15.11;
15.41;
15.22;
15.22;
15.22;
15.28;
15.31;
15.32;
15.32;
15.33;
15.33;
