13.02;
13.45;
13.52;
13.58;
13.60;
14.17;
14.45;
14.68;
14.92;
15.17;
15.57;
15.22;
15.22;
15.22;
15.27;
15.28;
15.29;
15.29;
15.29;
15.29;
