13.04;
13.50;
13.55;
13.59;
13.63;
14.16;
14.43;
14.67;
14.90;
15.13;
15.46;
15.22;
15.22;
15.23;
15.34;
15.37;
15.37;
15.37;
15.37;
15.37;
15.37;
