13.03;
13.52;
13.55;
13.59;
13.61;
14.19;
14.45;
14.69;
14.94;
15.17;
15.55;
15.22;
15.22;
15.22;
15.22;
15.27;
15.28;
15.28;
15.28;
15.29;
15.31;
