13.03;
13.47;
13.55;
13.60;
13.64;
14.20;
14.45;
14.69;
14.94;
15.17;
15.56;
15.22;
15.23;
15.22;
15.28;
15.27;
15.28;
15.28;
15.28;
15.28;
